name,type,class,tea,num,time,site
拉丁舞（伦巴）,艺术类,1,李国裕,100,"17-18周,星期1, 10-12节 2-16周,星期1, 10-11节 ", (舞蹈2室(实B310))(舞蹈2室(实B310))
拉丁舞（伦巴）,艺术类,2,李国裕,100,"17-18周,星期4, 10-12节 2-16周,星期4, 10-11节 ", (舞蹈2室(实B310))(舞蹈2室(实B310))
实用技术与常用软件应用,理科类,1,彭明程,50,"17-18周,星期4, 10-12节 2-16周,星期4, 10-11节 ", (图403(电脑15室))(图403(电脑15室))
实用技术与常用软件应用,理科类,2,彭明程,50,"17-18周,星期5, 7-9节 2-16周,星期5, 7-8节 ", (图402(电脑14室))(图402(电脑14室))
五邑侨乡文化,其他类,1,苏瑞浓,150,"17-18周,星期2, 7-9节 2-16周,星期2, 7-8节 ", (主楼316)(主楼316)
现代金融概论,文科类,1,黄玉棠,180,"17-18周,星期1, 10-12节 2-16周,星期1, 10-11节 ", (阶梯B310室)(阶梯B310室)
视频与电子杂志制作,理科类,1,张璐斯,50,"17-18周,星期4, 7-9节 2-16周,星期4, 7-8节 ", (电脑7室(实A504))(电脑7室(实A504))
视频与电子杂志制作,理科类,2,张璐斯,50,"17-18周,星期1, 7-9节 2-16周,星期1, 7-8节 ", (电脑7室(实A504))(电脑7室(实A504))
家电市场营销,理科类,1,欧阳君光,160,"17-18周,星期2, 7-9节 2-16周,星期2, 7-8节 ", (主楼217)(主楼217)
家电市场营销,理科类,2,欧阳君光,160,"17-18周,星期4, 10-12节 2-16周,星期4, 10-11节 ", (主楼217)(主楼217)
ppt课件制作,理科类,1,韦利梅,50,"17-18周,星期4, 10-12节 2-16周,星期4, 10-11节 ", (电脑3室(实A403))(电脑3室(实A403))
ppt课件制作,理科类,2,韦利梅,50,"17-18周,星期3, 10-12节 2-16周,星期3, 10-11节 ", (图403(电脑15室))(图403(电脑15室))
ppt课件制作,理科类,3,翁沃光,50,"17-18周,星期4, 10-12节 2-16周,星期4, 10-11节 ", (图401(电脑13室))(图401(电脑13室))
电子商务--网店的运营实践入门,理科类,1,黄庆祥,60,"17-18周,星期3, 10-12节 2-16周,星期3, 10-11节 ", (主511(金融外贸实务一体化实训室))(主511(金融外贸实务一体化实训室))
化学材料与生活,理科类,1,刘芳,160,"17-18周,星期4, 10-12节 2-16周,星期4, 10-11节 ", (主楼301)(主楼301)
民族音乐赏析与研究,艺术类,2,梁惠恩,160,"17-18周,星期5, 7-9节 2-16周,星期5, 7-8节 ", (主楼302)(主楼302)
流行歌曲演唱,艺术类,2,陈永海,80,"17-18周,星期5, 10-12节 2-16周,星期5, 10-11节 ", (实B408(合唱排练厅))(实B408(合唱排练厅))
流行歌曲演唱,艺术类,4,陈永海,80,"17-18周,星期2, 10-12节 2-16周,星期2, 10-11节 ", (实B408(合唱排练厅))(实B408(合唱排练厅))
流行歌曲演唱,艺术类,5,陈永海,80,"17-18周,星期5, 7-9节 2-16周,星期5, 7-8节 ", (实B408(合唱排练厅))(实B408(合唱排练厅))
流行歌曲演唱,艺术类,6,陈永海,80,"17-18周,星期4, 10-12节 2-16周,星期4, 10-11节 ", (实B408(合唱排练厅))(实B408(合唱排练厅))
饮食与美容健康,其他类,1,詹建伟,180,"17-18周,星期5, 10-12节 2-16周,星期5, 10-11节 ", (主楼316)(主楼316)
拉丁舞(喳喳),艺术类,1,李国裕,100,"17-18周,星期2, 10-12节 2-16周,星期2, 10-11节 ", (舞蹈2室(实B310))(舞蹈2室(实B310))
世界旅游地理,其他类,1,欧阳栋,180,"17-18周,星期2, 7-9节 2-16周,星期2, 7-8节 ", (阶梯B211室)(阶梯B211室)
世界旅游地理,其他类,2,欧阳栋,180,"17-18周,星期2, 10-12节 2-16周,星期2, 10-11节 ", (阶梯B211室)(阶梯B211室)
中外音乐基础,艺术类,1,王慧君,160,"17-18周,星期4, 10-12节 2-16周,星期4, 10-11节 ", (主楼317)(主楼317)
中外音乐基础,艺术类,2,王慧君,160,"17-18周,星期2, 7-9节 2-16周,星期2, 7-8节 ", (主楼301)(主楼301)
Photoshop数码照片处理与修饰技巧,理科类,1,张丽贤,50,"2-13周,星期2, 10-12节 ", (图402(电脑14室))
Photoshop数码照片处理与修饰技巧,理科类,2,张丽贤,50,"2-13周,星期4, 10-12节 ", (图402(电脑14室))
集邮中的经济学,其他类,1,王小康,180,"17-18周,星期2, 7-9节 2-16周,星期2, 7-8节 ", (阶梯B311室)(阶梯B311室)
HTML网页设计,理科类,1,程文亮,50,"17-18周,星期2, 10-12节 2-16周,星期2, 10-11节 ", (电脑8室(实A505))(电脑8室(实A505))
